epoch,x_label,phase,layer,avg_ms
1,fwd-L1,fwd,1,10.616
1,fwd-L2,fwd,2,10.545
1,fwd-L3,fwd,3,10.563
1,fwd-L4,fwd,4,10.600
1,fwd-L5,fwd,5,10.628
1,fwd-L6,fwd,6,10.621
1,fwd-L7,fwd,7,10.622
1,fwd-L8,fwd,8,10.616
1,fwd-L9,fwd,9,10.603
1,fwd-L10,fwd,10,10.826
1,fwd-L11,fwd,11,10.568
1,fwd-L12,fwd,12,10.594
1,bwd-L12,bwd,12,21.724
1,bwd-L11,bwd,11,21.678
1,bwd-L10,bwd,10,22.252
1,bwd-L9,bwd,9,21.838
1,bwd-L8,bwd,8,21.865
1,bwd-L7,bwd,7,21.896
1,bwd-L6,bwd,6,21.900
1,bwd-L5,bwd,5,21.922
1,bwd-L4,bwd,4,21.933
1,bwd-L3,bwd,3,21.902
1,bwd-L2,bwd,2,21.886
1,bwd-L1,bwd,1,21.870
2,fwd-L1,fwd,1,10.673
2,fwd-L2,fwd,2,10.608
2,fwd-L3,fwd,3,10.595
2,fwd-L4,fwd,4,10.643
2,fwd-L5,fwd,5,10.641
2,fwd-L6,fwd,6,10.636
2,fwd-L7,fwd,7,10.667
2,fwd-L8,fwd,8,10.620
2,fwd-L9,fwd,9,10.601
2,fwd-L10,fwd,10,10.713
2,fwd-L11,fwd,11,10.565
2,fwd-L12,fwd,12,10.604
2,bwd-L12,bwd,12,21.733
2,bwd-L11,bwd,11,21.653
2,bwd-L10,bwd,10,22.103
2,bwd-L9,bwd,9,21.812
2,bwd-L8,bwd,8,21.866
2,bwd-L7,bwd,7,21.863
2,bwd-L6,bwd,6,21.922
2,bwd-L5,bwd,5,21.952
2,bwd-L4,bwd,4,22.000
2,bwd-L3,bwd,3,21.958
2,bwd-L2,bwd,2,21.948
2,bwd-L1,bwd,1,21.960
