epoch,x_label,phase,layer,avg_ms
1,fwd-L1,fwd,1,10.587
1,fwd-L2,fwd,2,10.537
1,fwd-L3,fwd,3,10.556
1,fwd-L4,fwd,4,10.584
1,fwd-L5,fwd,5,10.630
1,fwd-L6,fwd,6,10.642
1,fwd-L7,fwd,7,10.627
1,fwd-L8,fwd,8,10.640
1,fwd-L9,fwd,9,10.610
1,fwd-L10,fwd,10,10.816
1,fwd-L11,fwd,11,10.586
1,fwd-L12,fwd,12,10.613
1,bwd-L12,bwd,12,21.838
1,bwd-L11,bwd,11,21.742
1,bwd-L10,bwd,10,22.270
1,bwd-L9,bwd,9,21.860
1,bwd-L8,bwd,8,21.906
1,bwd-L7,bwd,7,21.910
1,bwd-L6,bwd,6,21.950
1,bwd-L5,bwd,5,21.921
1,bwd-L4,bwd,4,21.922
1,bwd-L3,bwd,3,21.911
1,bwd-L2,bwd,2,21.922
1,bwd-L1,bwd,1,21.904
2,fwd-L1,fwd,1,10.683
2,fwd-L2,fwd,2,10.562
2,fwd-L3,fwd,3,10.567
2,fwd-L4,fwd,4,10.619
2,fwd-L5,fwd,5,10.640
2,fwd-L6,fwd,6,10.629
2,fwd-L7,fwd,7,10.613
2,fwd-L8,fwd,8,10.621
2,fwd-L9,fwd,9,10.591
2,fwd-L10,fwd,10,10.798
2,fwd-L11,fwd,11,10.581
2,fwd-L12,fwd,12,10.612
2,bwd-L12,bwd,12,21.765
2,bwd-L11,bwd,11,21.652
2,bwd-L10,bwd,10,21.999
2,bwd-L9,bwd,9,21.807
2,bwd-L8,bwd,8,21.859
2,bwd-L7,bwd,7,21.930
2,bwd-L6,bwd,6,21.934
2,bwd-L5,bwd,5,21.950
2,bwd-L4,bwd,4,22.019
2,bwd-L3,bwd,3,21.940
2,bwd-L2,bwd,2,21.952
2,bwd-L1,bwd,1,21.956
3,fwd-L1,fwd,1,10.666
3,fwd-L2,fwd,2,10.541
3,fwd-L3,fwd,3,10.550
3,fwd-L4,fwd,4,10.565
3,fwd-L5,fwd,5,10.577
3,fwd-L6,fwd,6,10.568
3,fwd-L7,fwd,7,10.552
3,fwd-L8,fwd,8,10.565
3,fwd-L9,fwd,9,10.544
3,fwd-L10,fwd,10,10.690
3,fwd-L11,fwd,11,10.519
3,fwd-L12,fwd,12,10.557
3,bwd-L12,bwd,12,21.648
3,bwd-L11,bwd,11,21.542
3,bwd-L10,bwd,10,22.059
3,bwd-L9,bwd,9,21.694
3,bwd-L8,bwd,8,21.743
3,bwd-L7,bwd,7,21.727
3,bwd-L6,bwd,6,21.786
3,bwd-L5,bwd,5,21.821
3,bwd-L4,bwd,4,21.849
3,bwd-L3,bwd,3,21.807
3,bwd-L2,bwd,2,21.828
3,bwd-L1,bwd,1,21.835
4,fwd-L1,fwd,1,10.587
4,fwd-L2,fwd,2,10.539
4,fwd-L3,fwd,3,10.507
4,fwd-L4,fwd,4,10.553
4,fwd-L5,fwd,5,10.575
4,fwd-L6,fwd,6,10.578
4,fwd-L7,fwd,7,10.567
4,fwd-L8,fwd,8,10.571
4,fwd-L9,fwd,9,10.555
4,fwd-L10,fwd,10,10.604
4,fwd-L11,fwd,11,10.525
4,fwd-L12,fwd,12,10.557
4,bwd-L12,bwd,12,21.659
4,bwd-L11,bwd,11,21.543
4,bwd-L10,bwd,10,21.879
4,bwd-L9,bwd,9,21.702
4,bwd-L8,bwd,8,21.752
4,bwd-L7,bwd,7,21.751
4,bwd-L6,bwd,6,21.789
4,bwd-L5,bwd,5,21.786
4,bwd-L4,bwd,4,21.828
4,bwd-L3,bwd,3,21.781
4,bwd-L2,bwd,2,21.790
4,bwd-L1,bwd,1,21.793
5,fwd-L1,fwd,1,10.627
5,fwd-L2,fwd,2,10.505
5,fwd-L3,fwd,3,10.533
5,fwd-L4,fwd,4,10.566
5,fwd-L5,fwd,5,10.564
5,fwd-L6,fwd,6,10.562
5,fwd-L7,fwd,7,10.549
5,fwd-L8,fwd,8,10.555
5,fwd-L9,fwd,9,10.541
5,fwd-L10,fwd,10,10.588
5,fwd-L11,fwd,11,10.508
5,fwd-L12,fwd,12,10.547
5,bwd-L12,bwd,12,21.631
5,bwd-L11,bwd,11,21.518
5,bwd-L10,bwd,10,21.857
5,bwd-L9,bwd,9,21.698
5,bwd-L8,bwd,8,21.744
5,bwd-L7,bwd,7,21.752
5,bwd-L6,bwd,6,21.781
5,bwd-L5,bwd,5,21.788
5,bwd-L4,bwd,4,21.815
5,bwd-L3,bwd,3,21.784
5,bwd-L2,bwd,2,21.771
5,bwd-L1,bwd,1,21.765
6,fwd-L1,fwd,1,10.673
6,fwd-L2,fwd,2,10.518
6,fwd-L3,fwd,3,10.516
6,fwd-L4,fwd,4,10.567
6,fwd-L5,fwd,5,10.585
6,fwd-L6,fwd,6,10.576
6,fwd-L7,fwd,7,10.570
6,fwd-L8,fwd,8,10.570
6,fwd-L9,fwd,9,10.548
6,fwd-L10,fwd,10,10.600
6,fwd-L11,fwd,11,10.523
6,fwd-L12,fwd,12,10.558
6,bwd-L12,bwd,12,21.678
6,bwd-L11,bwd,11,21.545
6,bwd-L10,bwd,10,21.856
6,bwd-L9,bwd,9,21.712
6,bwd-L8,bwd,8,21.788
6,bwd-L7,bwd,7,21.779
6,bwd-L6,bwd,6,21.798
6,bwd-L5,bwd,5,21.823
6,bwd-L4,bwd,4,21.868
6,bwd-L3,bwd,3,21.818
6,bwd-L2,bwd,2,21.801
6,bwd-L1,bwd,1,21.810
7,fwd-L1,fwd,1,10.620
7,fwd-L2,fwd,2,10.537
7,fwd-L3,fwd,3,10.538
7,fwd-L4,fwd,4,10.592
7,fwd-L5,fwd,5,10.578
7,fwd-L6,fwd,6,10.569
7,fwd-L7,fwd,7,10.557
7,fwd-L8,fwd,8,10.561
7,fwd-L9,fwd,9,10.590
7,fwd-L10,fwd,10,10.607
7,fwd-L11,fwd,11,10.522
7,fwd-L12,fwd,12,10.555
7,bwd-L12,bwd,12,21.615
7,bwd-L11,bwd,11,21.503
7,bwd-L10,bwd,10,21.836
7,bwd-L9,bwd,9,21.683
