epoch,x_label,phase,layer,avg_ms
1,fwd-L1,fwd,1,21.750
1,fwd-L2,fwd,2,22.497
1,fwd-L3,fwd,3,21.182
1,fwd-L4,fwd,4,21.203
1,fwd-L5,fwd,5,22.058
1,fwd-L6,fwd,6,22.091
1,fwd-L7,fwd,7,22.302
1,fwd-L8,fwd,8,22.238
1,fwd-L9,fwd,9,21.964
1,fwd-L10,fwd,10,21.969
1,fwd-L11,fwd,11,21.972
1,fwd-L12,fwd,12,22.046
1,bwd-L12,bwd,12,31.880
1,bwd-L11,bwd,11,30.997
1,bwd-L10,bwd,10,31.051
1,bwd-L9,bwd,9,31.130
1,bwd-L8,bwd,8,31.171
1,bwd-L7,bwd,7,31.224
1,bwd-L6,bwd,6,31.323
1,bwd-L5,bwd,5,31.380
1,bwd-L4,bwd,4,18.622
1,bwd-L3,bwd,3,18.619
1,bwd-L2,bwd,2,18.609
1,bwd-L1,bwd,1,18.608
