epoch,x_label,phase,layer,mem_mib
1,fwd-L1,fwd,1,185.481
1,fwd-L2,fwd,2,458.637
1,fwd-L3,fwd,3,724.562
1,fwd-L4,fwd,4,990.487
1,fwd-L5,fwd,5,1255.472
1,fwd-L6,fwd,6,1271.865
1,fwd-L7,fwd,7,1288.259
1,fwd-L8,fwd,8,1304.652
1,fwd-L9,fwd,9,1321.156
1,fwd-L10,fwd,10,1337.550
1,fwd-L11,fwd,11,1353.943
1,fwd-L12,fwd,12,1370.337
1,bwd-L12,bwd,12,1506.797
1,bwd-L11,bwd,11,1488.516
1,bwd-L10,bwd,10,1470.359
1,bwd-L9,bwd,9,1451.953
1,bwd-L8,bwd,8,1433.672
1,bwd-L7,bwd,7,1415.391
1,bwd-L6,bwd,6,1396.985
1,bwd-L5,bwd,5,1378.703
1,bwd-L4,bwd,4,1079.768
1,bwd-L3,bwd,3,780.956
1,bwd-L2,bwd,2,481.554
1,bwd-L1,bwd,1,183.337
